seccion,g_etario,sexo,n,Localidad,pct,encuestas
1062,18 a 24,HOMBRES,281,REFORMA,0.0889803673210893,3
1062,18 a 24,MUJERES,278,REFORMA,0.08803039898670044,3
1062,25 a 59,HOMBRES,974,REFORMA,0.3084230525649145,9
1062,25 a 59,MUJERES,1162,REFORMA,0.36795440151994935,11
1062,60 y más,HOMBRES,236,REFORMA,0.07473084230525649,2
1062,60 y más,MUJERES,227,REFORMA,0.07188093730208993,2
1068,18 a 24,HOMBRES,79,COLONIA MIGUEL ALDAMA,0.08085977482088025,2
1068,18 a 24,MUJERES,92,COLONIA MIGUEL ALDAMA,0.09416581371545547,3
1068,25 a 59,HOMBRES,297,COLONIA MIGUEL ALDAMA,0.3039918116683726,9
1068,25 a 59,MUJERES,327,COLONIA MIGUEL ALDAMA,0.33469805527123847,10
1068,60 y más,HOMBRES,99,COLONIA MIGUEL ALDAMA,0.10133060388945753,3
1068,60 y más,MUJERES,83,COLONIA MIGUEL ALDAMA,0.0849539406345957,3
1069,18 a 24,HOMBRES,177,COLONIA EMILIANO ZAPATA (VISTA HERMOSA),0.08274894810659186,2
1069,18 a 24,HOMBRES,177,RANCHERIA SANTA CRUZ,0.08274894810659186,2
1069,18 a 24,MUJERES,181,COLONIA EMILIANO ZAPATA (VISTA HERMOSA),0.08461898083216457,3
1069,18 a 24,MUJERES,181,RANCHERIA SANTA CRUZ,0.08461898083216457,3
1069,25 a 59,HOMBRES,718,COLONIA EMILIANO ZAPATA (VISTA HERMOSA),0.33567087424029923,10
1069,25 a 59,HOMBRES,718,RANCHERIA SANTA CRUZ,0.33567087424029923,10
1069,25 a 59,MUJERES,763,COLONIA EMILIANO ZAPATA (VISTA HERMOSA),0.35670874240299205,11
1069,25 a 59,MUJERES,763,RANCHERIA SANTA CRUZ,0.35670874240299205,11
1069,60 y más,HOMBRES,163,COLONIA EMILIANO ZAPATA (VISTA HERMOSA),0.07620383356708742,2
1069,60 y más,HOMBRES,163,RANCHERIA SANTA CRUZ,0.07620383356708742,2
1069,60 y más,MUJERES,137,COLONIA EMILIANO ZAPATA (VISTA HERMOSA),0.06404862085086489,2
1069,60 y más,MUJERES,137,RANCHERIA SANTA CRUZ,0.06404862085086489,2
1098,18 a 24,HOMBRES,300,ACTIEPA YOCHIB,0.10145417653026716,3
1098,18 a 24,HOMBRES,300,AGUA BLANCA,0.10145417653026716,3
1098,18 a 24,MUJERES,283,ACTIEPA YOCHIB,0.09570510652688535,3
1098,18 a 24,MUJERES,283,AGUA BLANCA,0.09570510652688535,3
1098,25 a 59,HOMBRES,947,ACTIEPA YOCHIB,0.32025701724721,10
1098,25 a 59,HOMBRES,947,AGUA BLANCA,0.32025701724721,10
1098,25 a 59,MUJERES,1018,ACTIEPA YOCHIB,0.3442678390260399,10
1098,25 a 59,MUJERES,1018,AGUA BLANCA,0.3442678390260399,10
1098,60 y más,HOMBRES,209,ACTIEPA YOCHIB,0.07067974298275279,2
1098,60 y más,HOMBRES,209,AGUA BLANCA,0.07067974298275279,2
1098,60 y más,MUJERES,200,ACTIEPA YOCHIB,0.06763611768684477,2
1098,60 y más,MUJERES,200,AGUA BLANCA,0.06763611768684477,2
1101,18 a 24,HOMBRES,133,JILUMIL,0.11176470588235295,3
1101,18 a 24,MUJERES,119,JILUMIL,0.1,3
1101,25 a 59,HOMBRES,347,JILUMIL,0.2915966386554622,9
1101,25 a 59,MUJERES,423,JILUMIL,0.3554621848739496,11
1101,60 y más,HOMBRES,84,JILUMIL,0.07058823529411765,2
1101,60 y más,MUJERES,84,JILUMIL,0.07058823529411765,2
1103,18 a 24,HOMBRES,241,SUCLUMPA,0.10370051635111877,3
1103,18 a 24,MUJERES,240,SUCLUMPA,0.10327022375215146,3
1103,25 a 59,HOMBRES,753,SUCLUMPA,0.3240103270223752,10
1103,25 a 59,MUJERES,802,SUCLUMPA,0.34509466437177283,10
1103,60 y más,HOMBRES,135,SUCLUMPA,0.058089500860585196,2
1103,60 y más,MUJERES,153,SUCLUMPA,0.06583476764199656,2
1106,18 a 24,HOMBRES,225,BELIZARIO DOMINGUEZ,0.07944915254237288,2
1106,18 a 24,MUJERES,243,BELIZARIO DOMINGUEZ,0.0858050847457627,3
1106,25 a 59,HOMBRES,933,BELIZARIO DOMINGUEZ,0.3294491525423729,10
1106,25 a 59,MUJERES,1033,BELIZARIO DOMINGUEZ,0.3647598870056497,11
1106,60 y más,HOMBRES,204,BELIZARIO DOMINGUEZ,0.07203389830508475,2
1106,60 y más,MUJERES,194,BELIZARIO DOMINGUEZ,0.06850282485875706,2
1113,18 a 24,HOMBRES,553,SAN CRISTOBAL DE LAS CASAS,0.09148056244830438,3
1113,18 a 24,MUJERES,601,SAN CRISTOBAL DE LAS CASAS,0.09942100909842845,3
1113,25 a 59,HOMBRES,1923,SAN CRISTOBAL DE LAS CASAS,0.31811414392059556,10
1113,25 a 59,MUJERES,2390,SAN CRISTOBAL DE LAS CASAS,0.39536807278742764,12
1113,60 y más,HOMBRES,287,SAN CRISTOBAL DE LAS CASAS,0.047477253928866835,1
1113,60 y más,MUJERES,291,SAN CRISTOBAL DE LAS CASAS,0.04813895781637717,1
1138,18 a 24,HOMBRES,76,SAN CRISTOBAL DE LAS CASAS,0.07851239669421488,2
1138,18 a 24,MUJERES,49,SAN CRISTOBAL DE LAS CASAS,0.0506198347107438,2
